target_name,horizon_hours,mae_model,mae_persistence,mae_improvement_pct,rmse_model,rmse_persistence,rmse_improvement_pct,r2_model,corr_model,recommended_use
sea_level,12,0.0253526307320812,0.140903186603703,82.00705651648121,0.0486920224093461,0.1724339816305393,71.76193349540888,0.9922417717941592,0.9962038916797435,main
sea_level,24,0.0347840677196082,0.1904943085282714,81.74010132463046,0.0726888125919588,0.2200714250147842,66.97035401707622,0.982718065101842,0.9917599859194672,main
sea_level,48,0.0533269830382994,0.37110572937651,85.6302452867291,0.0797704117382487,0.4272249765544721,81.32824246803419,0.9791911184485276,0.9903433309592036,main
sea_surface_salinity,3,0.0342192147095978,0.0031385162459868,-990.2991103950296,0.1892322192697561,0.0128922010406756,-1367.8038193223797,-0.5926298043198719,0.6586618950603284,not_priority
sea_surface_salinity,6,0.0400231624915771,0.0059566803443135,-571.9038151809551,0.2229207725107098,0.0184128454105569,-1110.6807369538833,-1.2096240689149198,0.6153862311843604,not_priority
sea_surface_salinity,12,0.0467797586761103,0.0111230438124423,-320.5661639467949,0.1909343678271103,0.0259841329363367,-634.8113877608131,-0.6201822597527376,0.5746206264802693,not_priority
sea_surface_salinity,24,0.0543942272992674,0.0210248793828603,-158.71362355405495,0.1081299179361491,0.0364112597826586,-196.96835149781768,0.4809327596836918,0.7106919480259147,not_priority
sea_surface_salinity,48,0.0520584052526711,0.0337907985742263,-54.06089068394596,0.1022217972494432,0.0535941940853291,-90.73296836349914,0.5373770999627587,0.7542717018302609,not_priority
sea_surface_temperature,3,0.0772223814759205,0.0731189707539506,-5.611964555379389,0.1159581463422685,0.1116758254234373,-3.834599746716944,0.9933403847585288,0.9970681484906964,not_priority
sea_surface_temperature,6,0.1038398080480512,0.1276471874402219,18.650923588363295,0.1555526254601246,0.1880069155040516,17.26228524994208,0.9880148256895114,0.9947526938966852,not_priority
sea_surface_temperature,12,0.1430003619796392,0.1760093877608032,18.75412794800651,0.2122695237768453,0.2489305116724881,14.72739828047947,0.9776731677264582,0.9903436339507726,not_priority
sea_surface_temperature,24,0.1627896046794679,0.12970719319682,-25.505456302988566,0.2472629888521436,0.1966738780143955,-25.722333513983585,0.9696837303282356,0.9860532894893524,not_priority
sea_surface_temperature,48,0.2030562578041802,0.1921591256226092,-5.6708897619426235,0.2877694040475643,0.2718274646525921,-5.864727250922479,0.9589017668115336,0.9803574721118372,not_priority
swell_height,3,0.1150893226132624,0.1421578030027838,19.041149917737076,0.1775341072066135,0.227515760094376,21.968435446858532,0.9434522215053373,0.971413288451816,main
swell_height,6,0.1494211228187933,0.2108072956050686,29.11956752259544,0.2167384862598759,0.309356948042515,29.93902751132343,0.9157347115266768,0.9572767234628656,main
swell_height,12,0.2060046618582121,0.3004930653027963,31.444453917554306,0.2960643919424132,0.4273073202764908,30.713943362626317,0.8428230832747812,0.9191516715670216,main
swell_height,24,0.3107992865768822,0.4025555351127114,22.79343855255607,0.4391402105758102,0.5726803739483817,23.31844593378855,0.6546860573975595,0.8111626913129621,main
swell_height,48,0.4131158127143401,0.5076301019412355,18.61873219603446,0.5659710860904018,0.6995114830861361,19.090522489577268,0.4281180982032777,0.6617795509048702,main
swell_period,3,0.8777694841235318,0.8851451709959768,0.833274259876007,1.4451740799957706,1.724413789711156,16.19331226539071,0.7345384367136172,0.857174309731713,main
swell_period,6,1.0894251512595496,1.2275782655011358,11.254118627229666,1.6676565183774756,2.0850832911114505,20.019668975020473,0.6464882014865712,0.8041815031485995,main
